Name,Math,Physics,Chemistry,English,Biology,Attendance_%,Study_Hours,Total_Marks,Average_Marks,Grade,Status
Student_6,81,96,85,89,98,98.33,2.5,449,89.8,B,Pass
Student_5,76,94,49,96,96,71.41,6.4,411,82.2,B,Pass
Student_29,58,93,66,86,96,90.47,4.8,399,79.8,C,Pass
Student_26,62,78,64,96,96,85.12,2.2,396,79.2,C,Pass
Student_4,67,92,56,83,93,96.42,4.7,391,78.2,C,Pass
Student_12,97,52,78,68,96,65.85,5.5,391,78.2,C,Pass
Student_33,78,66,66,89,90,75.57,7.7,389,77.8,C,Pass
Student_19,82,57,96,71,78,80.75,4.1,384,76.8,C,Pass
Student_22,76,85,97,86,38,75.92,7.7,382,76.4,C,Pass
Student_43,52,88,69,95,75,78.91,1.3,379,75.8,C,Pass
Student_14,87,58,60,94,75,77.84,7.8,374,74.8,C,Pass
Student_48,55,64,62,98,95,79.54,1.7,374,74.8,C,Pass
Student_28,43,96,71,85,78,64.68,2.8,373,74.6,C,Pass
Student_25,79,96,91,40,62,84.85,3.9,368,73.6,C,Pass
Student_46,82,93,56,64,72,77.13,5.9,367,73.4,C,Pass
Student_50,83,51,78,64,80,51.87,4.3,356,71.2,C,Pass
Student_3,72,36,98,94,55,50.77,1.9,355,71.0,C,Pass
Student_13,48,82,49,96,74,58.47,6.1,349,69.8,D,Pass
Student_35,93,37,54,93,70,89.91,4.9,347,69.4,D,Pass
Student_24,47,66,93,62,76,87.04,5.9,344,68.8,D,Pass
Student_1,86,49,95,55,58,95.74,6.8,343,68.6,D,Pass
Student_10,81,69,70,84,38,69.25,4.7,342,68.4,D,Pass
Student_49,82,53,38,69,98,51.53,4.4,340,68.0,D,Pass
Student_9,87,36,94,78,42,64.72,1.4,337,67.4,D,Pass
Student_47,85,88,42,61,61,64.33,4.3,337,67.4,D,Pass
Student_15,63,49,79,99,43,96.81,4.6,333,66.6,D,Pass
Student_30,92,86,46,73,36,90.51,6.0,333,66.6,D,Pass
Student_42,67,58,70,72,59,54.7,1.8,326,65.2,D,Pass
Student_38,84,57,65,76,41,89.79,2.7,323,64.6,D,Pass
Student_20,69,99,81,37,35,99.5,1.5,321,64.2,D,Pass
Student_44,67,67,48,55,82,51.8,1.3,319,63.8,D,Pass
Student_41,82,37,54,58,88,68.78,1.1,319,63.8,D,Pass
Student_17,69,69,67,39,75,78.5,6.6,319,63.8,D,Pass
Student_37,74,73,35,45,91,85.1,3.9,318,63.6,D,Pass
Student_23,57,49,77,63,70,93.87,6.9,316,63.2,D,Pass
Student_36,53,53,54,86,67,82.5,5.3,313,62.6,D,Pass
Student_32,88,35,53,36,87,95.66,3.0,299,59.8,F,Pass
Student_39,50,94,36,35,82,94.5,3.5,297,59.4,F,Pass
Student_31,37,90,93,36,36,93.35,5.6,292,58.4,F,Pass
Student_7,37,85,41,55,73,98.18,5.4,291,58.2,F,Pass
Student_11,36,40,88,38,88,92.56,4.8,290,58.0,F,Pass
Student_27,35,61,96,37,61,67.97,2.1,290,58.0,F,Pass
Student_18,62,41,46,68,67,54.86,2.9,284,56.8,F,Pass
Student_2,37,56,87,36,64,68.51,3.5,280,56.0,F,Pass
Student_40,46,71,66,43,53,66.9,6.3,279,55.8,F,Pass
Student_34,51,72,58,45,50,75.08,6.2,276,55.2,F,Pass
Student_8,52,38,94,48,43,92.65,1.6,275,55.0,F,Pass
Student_16,35,42,97,45,42,84.8,3.3,261,52.2,F,Pass
Student_45,54,42,41,51,67,73.28,7.0,255,51.0,F,Pass
Student_21,39,48,61,43,49,57.0,1.2,240,48.0,F,Pass
